latitude,longitude,depth,mag,Timestamp,Year
38.1843,38.7856,7,4.8,1636708755,2021
37.8413,32.1727,10,5.1,1636393401,2021
38.9189,35.667,10,4,1628080696,2021
39.289,40.3319,10,4.1,1627475234,2021
37.1114,36.4369,10,4.6,1627246506,2021
37.064,36.4077,10,3.3,1627235849,2021
38.945,35.6174,7,4.1,1626680383,2021
38.9438,35.6909,10,4.1,1626679973,2021
38.4859,39.6011,10,4.1,1624938117,2021
39.1823,40.1726,7.3,5.4,1624645717,2021
37.5745,36.1435,10,4.2,1622614469,2021
35.0925,32.6833,51.5,4.4,1622442219,2021
39.1136,36.0539,10,4.3,1612735278,2021
39.0993,36.0949,10,4.5,1612224165,2021
35.0489,33.7163,62.9,5,1611239226,2021
38.3881,39.2457,10,4.2,1610875446,2021
38.2698,39.0769,5,4.4,1609683455,2021
38.4605,39.2345,9,5.5,1609051052,2020
38.4297,39.2157,10,4.1,1608980960,2020
36.5155,36.1143,10,3.4,1607541736,2020
37.0705,34.4652,57.2,4.1,1607218625,2020
36.0777,31.8657,80.9,5.3,1607172280,2020
35.223,36.9085,13.6,4.4,1606744025,2020
38.1793,38.6406,10,4.6,1606465676,2020
38.1232,34.0726,10,4.4,1600909286,2020
38.0192,34.0381,10,5.2,1600628887,2020
37.0319,35.8558,10,4.4,1600507806,2020
38.6773,38.0409,5,4.2,1600412045,2020
38.1581,38.6401,5,4.2,1599577577,2020
38.1737,38.676,10,4.2,1599568742,2020
38.0618,38.7769,10,4.7,1599561849,2020
38.2374,38.7315,10,4.5,1596566404,2020
38.2287,38.7559,10,4.3,1596555061,2020
38.2706,38.8458,10,4,1596546619,2020
38.194,38.7029,10,5.6,1596533857,2020
38.2224,38.7249,5.6,4,1595101977,2020
37.3676,36.3699,10,4,1595021543,2020
35.5678,40.594,10,4.2,1594938809,2020
38.1679,38.5587,10,4,1594247967,2020
38.1382,38.5409,10,4.1,1594241875,2020
35.6505,40.5391,10,4.3,1594076087,2020
37.4927,38.5867,10,4.2,1592383635,2020
38.2379,38.7587,10,5.2,1591380381,2020
38.3148,39.0299,10,4.2,1588512326,2020
38.417,39.173,10,4.3,1588236336,2020
35.8341,35.545,10,4.5,1586938718,2020
35.8628,35.525,10,4.6,1586936405,2020
35.8397,35.4944,10,4.2,1586903876,2020
35.9384,35.49,12.7,4.7,1585937742,2020
38.3915,39.0729,10,5.2,1584640413,2020
37.4505,36.121,10,4.2,1584268533,2020
38.1972,38.8481,5,4.1,1583160772,2020
38.3449,39.2773,10,4.5,1582979388,2020
38.2294,38.685,10,4.6,1582769326,2020
38.3489,38.7972,10,5,1582671817,2020
38.3417,39.1144,10,4.3,1581939735,2020
38.2572,38.6898,7,4,1581871233,2020
38.4874,39.1359,10,4.3,1580768384,2020
38.3727,39.2739,10,4.2,1580515431,2020
38.4961,39.3382,10,4.7,1580513571,2020
38.3425,39.156,5,4.3,1580141522,2020
38.2467,38.7957,10,4.4,1580005369,2020
38.3906,39.177,10,4.4,1579970820,2020
38.3483,39.1488,10,4.3,1579970642,2020
38.3615,39.1096,10,5.1,1579969811,2020
38.2019,38.7768,10,4.5,1579947299,2020
38.2892,38.8341,10,4.3,1579945175,2020
38.3409,39.2769,10,4.5,1579941604,2020
38.2318,38.7294,10,4.2,1579940475,2020
38.3075,39.1257,3.5,4.4,1579932454,2020
38.3425,39.1165,10,4,1579913839,2020
38.4605,39.1847,10,4.2,1579913332,2020
38.3109,39.1169,10,4.1,1579903296,2020
38.4257,39.1157,10,4.3,1579898706,2020
38.3608,39.0961,10,4.2,1579898533,2020
38.4237,39.1443,10,4.3,1579895380,2020
38.2696,38.7109,10,4.4,1579892588,2020
38.5045,39.205,10,4.3,1579892432,2020
38.4263,39.0449,10,4.3,1579891404,2020
38.4178,39.0847,10,4.4,1579890757,2020
38.4264,39.1881,10,4.8,1579889287,2020
38.4312,39.0609,10,6.7,1579888514,2020
35.6228,32.1162,66.7,4.2,1577497718,2019
38.2975,39.0277,10,4.9,1577430147,2019
37.6256,35.8158,12.4,4.5,1574602403,2019
39.254,40.1372,10,4.3,1567439196,2019
38.2621,40.9106,9.8,4.1,1565616868,2019
37.2454,36.0319,20.6,4.1,1564002203,2019
36.2782,35.9639,10,3,1555359058,2019
38.6972,38.0712,10,4.5,1555303291,2019
38.7376,38.0875,10,4.2,1554745101,2019
38.3002,39.1625,10,5.2,1554399070,2019
38.715,38.0944,10,3.9,1553746765,2019
38.69,38.0702,10,4.6,1553513366,2019
38.7108,38.0339,10,4.4,1553147470,2019
36.0449,35.8699,10,4,1550640923,2019
37.1561,35.7871,10,4.5,1549110037,2019
35.2743,33.1567,51.5,3.8,1543796177,2018
37.3958,35.8992,10,4.3,1539162504,2018
37.6699,37.3967,5,4.6,1538494145,2018
37.2897,36.364,10,5.1,1534692134,2018
37.4194,36.3668,10,4.2,1533366570,2018
37.0034,36.0799,6.5,4.3,1533047765,2018
37.5963,38.5142,10,5.2,1524530071,2018
37.0993,31.9276,10,4.3,1523887941,2018
37.0957,31.9506,10,4.2,1523642148,2018
37.158,31.9355,10,4.8,1523639640,2018
39.0277,40.3055,10,4.3,1520382834,2018
38.1445,38.8277,14.7,4.2,1516369996,2018
37.5878,37.5603,5.5,4.3,1503030602,2017
38.2847,37.1456,10,4,1490738011,2017
38.5214,39.7883,8.7,4.5,1490020786,2017
37.616,38.4305,10,5.6,1488452846,2017
37.059,36.0706,2.3,4.6,1488056764,2017
35.5523,32.3981,75.5,4.4,1484343811,2017
38.629,38.0224,11.9,4,1471396026,2016
35.2548,39.0853,27.2,4.4,1469722413,2016
39.0702,40.8564,10,4.3,1465585020,2016
36.94,35.89,10,4.3,1459460002,2016
35.42,32.54,70,4.1,1458656590,2016
39.0192,35.8528,4.5,4.1,1455782209,2016
38.7613,37.8137,10,4.2,1454422878,2016
35.133,33.1961,20.6,4,1449860066,2015
38.8387,37.875,5,4.4,1449651813,2015
39.1998,40.2894,10,4.5,1449530839,2015
39.26,40.22,5,4.4,1449243460,2015
39.2732,40.2855,10,4.3,1449102988,2015
39.2826,40.2553,10,5.4,1449098829,2015
38.8236,37.7358,10,4.9,1448756891,2015
38.8573,38.2503,3.9,3.9,1445834609,2015
38.179,38.921,8.8,4,1443906483,2015
39.18,40.28,5,4.5,1441586257,2015
37.304,36.9733,6.5,4.2,1440630104,2015
36.5646,34.9787,29.6,4.9,1438207255,2015
36.0495,35.9713,11.8,4.4,1423540914,2015
37.4375,36.3148,6.9,4.4,1421954866,2015
37.0948,36.8433,8.8,4.2,1420742686,2015
36.9697,34.3995,5.4,4.3,1420582604,2015
35.3715,35.6011,10,4.1,1411370736,2014
39.09,38.78,10,4.1,1411181580,2014
35.1228,33.9098,54.6,4.2,1404146122,2014
35.813,32.06,71,4.5,1403209847,2014
36.7453,36.0505,17.6,4.6,1402285114,2014
36.061,32.098,85.4,4.1,1398485071,2014
38.1,38.63,10,4.4,1395842416,2014
38.3944,31.8096,21.9,4.2,1394533413,2014
36.785,35.175,6.7,4.1,1393734357,2014
37.422,36.382,6.3,4.4,1393083726,2014
36.74,36.08,10,4.7,1392338020,2014
37.3093,36.2033,3.4,4,1389360046,2014
35.7187,32.0285,6.4,3.7,1389245136,2014
35.4356,31.8905,70.2,4.1,1385121624,2013
37.4222,36.217,5.4,4.4,1383806368,2013
36.2912,34.3423,5,4.5,1382531062,2013
36.935,35.613,24.9,3.7,1374956033,2013
36.03,35.89,17.4,4,1374798175,2013
38.094,37.108,5.3,4.2,1371414698,2013
37.306,37.147,7.4,4,1367865197,2013
37.309,37.125,5.3,4.3,1366930455,2013
37.315,37.149,3.4,3.4,1366500189,2013
35.992,34.583,17.5,4.1,1362309744,2013
37.857,37.942,5,4.1,1357625703,2013
37.874,37.989,5,4.4,1357625106,2013
37.508,35.715,6.6,4.2,1356858675,2012
37.301,36.273,11.2,4.2,1355275093,2012
37.31,37.12,12,4.3,1352851319,2012
37.27,37.11,13,4.5,1352850948,2012
37.297,37.135,14,4.6,1350383104,2012
37.002,37.108,9.2,4.5,1350350162,2012
37.313,37.136,8.6,4.1,1348096506,2012
37.309,37.097,7,4.9,1348046266,2012
37.438,35.768,18.5,4.4,1347782055,2012
37.329,37.085,3.5,4.1,1347098466,2012
37.546,36.384,7.6,5,1342949162,2012
38.118,38.596,5,4.4,1337944958,2012
36.041,33.731,5,4,1336026265,2012
38.493,40.743,5,4.7,1335583024,2012
36.926,37.046,8.4,4,1333537516,2012
38.653,37.457,3.1,4.7,1329390063,2012
39.047,35.938,5,4.1,1321937437,2011
37.992,35.217,5,4.5,1317415214,2011
37.381,36.33,6.8,4.2,1315402218,2011
39.08,35.9,5,4.1,1313481210,2011
38.561,39.667,5,4.1,1312427587,2011
38.32,31.957,10,4.8,1311760695,2011
37.412,35.875,5.5,4.5,1309376885,2011
38.578,39.64,6.1,5.2,1308814482,2011
37.47,35.584,10.4,4.5,1303536131,2011
39.24,40.413,10,4.3,1299398320,2011
37.312,36.415,5.3,4.5,1289904632,2010
36.585,36.007,2.6,4.9,1289776105,2010
38.068,39.035,7,4.7,1284718625,2010
37.546,35.592,6.5,4.4,1280986273,2010
34.987,32.885,35,4.5,1280246863,2010
38.821,40.138,4.5,5.1,1269439891,2010
38.882,40.257,5,4,1268119283,2010
38.741,40.136,5,4.1,1268115297,2010
38.677,40.05,10,4.9,1268060694,2010
38.776,40.143,5,5.1,1268046730,2010
38.828,40.119,5,5.2,1268043263,2010
38.761,40.062,5,4.9,1268038846,2010
38.736,40.076,5.1,4.6,1268035881,2010
38.709,40.051,10,5.6,1268034461,2010
38.87,40.232,5,4.4,1268018424,2010
38.864,39.986,12,6.1,1268015554,2010
36.064,31.833,83,4.5,1257563621,2009
37.936,32.438,5.4,4.9,1252634310,2009
37.953,32.483,5,4.9,1252607392,2009
37.546,35.694,6.5,4.5,1248414499,2009
38.236,38.765,5,4.3,1246982221,2009
36.047,36.02,10.4,5,1245212952,2009
37.096,36.313,5.6,4.6,1232178326,2009
38.84,35.521,6.3,3,1230249014,2008
38.841,35.524,10,5.1,1226498598,2008
35.548,33.948,55,3.5,1224428881,2008
35.096,33.924,19,3,1220991144,2008
37.467,38.543,10,4.3,1220568872,2008
35.063,33.116,42,3.1,1220465194,2008
37.553,38.474,8,3.3,1220408717,2008
37.507,38.503,5.7,5,1220408567,2008
37.481,35.767,35,3.6,1219679489,2008
35.095,32.936,10,3.2,1219426388,2008
37.711,37.463,5,4.4,1219230098,2008
35.516,32.067,51,3.3,1217463019,2008
34.991,33.565,41,3.4,1215152028,2008
34.997,31.992,20,3.4,1213839584,2008
36.691,35.933,5,3.6,1213835071,2008
37.426,35.204,6.6,3.3,1211702569,2008
36.667,36.552,12.2,4,1209784853,2008
35.818,34.604,10.7,3.6,1207372646,2008
35.115,33.816,54,3.2,1205406244,2008
35.121,32.936,51,3.1,1205387950,2008
35.078,33.841,35,3.1,1205362498,2008
35.074,33.858,46,3.2,1204829064,2008
34.982,32.669,46,3.3,1203713221,2008
35.069,32.341,30,3.1,1202330946,2008
36.366,40.956,10,4.4,1201226913,2008
37.569,35.743,5,4.1,1199146901,2008
37.506,35.738,5,4.1,1198454108,2007
37.025,32.407,3.1,3.6,1198431846,2007
37.051,34.658,5,3.6,1198108269,2007
37.039,34.663,7.2,3.4,1198108146,2007
37.021,34.564,7.5,3.3,1198007377,2007
38.261,39.296,5,3.5,1197669551,2007
38.827,33.051,5,4.9,1197569178,2007
35.174,33.275,66,3,1196096291,2007
37.559,35.554,11.3,3.1,1195858128,2007
35.955,31.801,40,3.5,1193859358,2007
35.982,32.116,25,3,1193176154,2007
38.392,39.202,5,3.2,1192436731,2007
35.051,31.971,15,3.2,1192208843,2007
37.831,36.977,6.2,4.5,1189898928,2007
37.869,36.986,5,4.6,1189834011,2007
35.71,33.757,56,3.2,1188059270,2007
35.069,32.389,19,3,1188007090,2007
38.139,37.434,5,4.4,1187923989,2007
35.167,32.275,20,3.1,1187794403,2007
38.77,32.573,4.8,4.2,1185466026,2007
35.048,33.189,54,4,1185442098,2007
35.4,40.338,10,4,1182121284,2007
35.1,33.4,51,3.1,1181178427,2007
37.314,33.284,6.4,4.5,1179530864,2007
37.532,35.709,6.5,3.9,1179183829,2007
36.386,35.634,7.6,3.8,1178975200,2007
35.979,31.954,11,3.4,1177947573,2007
38.371,39.173,5,3.1,1177272514,2007
38.304,39.308,5,4.3,1176525037,2007
38.012,35.236,5,3,1175434946,2007
39.1,40.43,5,4,1173702797,2007
38.352,39.304,3.6,3.7,1173656127,2007
36.557,35.876,6.3,3.8,1173643907,2007
39.076,40.393,5,4.5,1173482693,2007
39.031,40.344,5,3.8,1173358677,2007
39.068,40.409,5,4.7,1173357339,2007
38.049,38.761,5,3.9,1173226654,2007
38.416,39.26,7.6,3.2,1173099038,2007
38.404,39.219,5,3.2,1172744123,2007
38.369,39.258,5,3.3,1172743359,2007
38.4,39.2,5,4.7,1172705265,2007
38.316,39.214,7,3.9,1172693290,2007
38.164,39.312,10,4.8,1172692533,2007
38.47,39.021,10,3.5,1172416474,2007
38.41,39.229,5.7,3,1172409892,2007
38.287,39.218,10,3.8,1172232722,2007
37.451,35.849,16.6,4,1172177366,2007
38.39,39.06,6.9,3,1172140125,2007
38.318,39.275,6,5.7,1172055928,2007
38.279,39.266,10,4.4,1171216303,2007
38.405,39.119,2.3,4.1,1171165380,2007
38.39,39.043,2.6,5.5,1170987775,2007
38.046,38.762,5,4,1170526947,2007
36.946,35.419,27.4,3.6,1170486180,2007
37.143,33.417,7.6,3.3,1170224912,2007
38.418,40.216,5.5,4.9,1169799635,2007
35.357,32.267,25,3,1169042853,2007
37.178,36.65,4.9,3.1,1168520600,2007
37.133,36.092,20.5,3.9,1168168235,2007
38.03,38.78,5,4.2,1167866227,2007
38.599,37.439,5,3.2,1167725918,2007
37.544,37.451,4,3.7,1167095033,2006
38.608,39.565,5,3.9,1167013345,2006
37.096,36.233,9,3.1,1167002531,2006
36.881,34.743,25,3.7,1166990088,2006
38.293,38.832,6,3,1166985439,2006
38.935,35.163,9.4,3,1166958990,2006
39.027,39.868,5,3.1,1166929519,2006
37.908,37.865,10,3.6,1166886800,2006
35.288,33.847,35,3.3,1166819099,2006
37.758,37.535,6.7,3,1165311236,2006
37.074,36.163,12.8,3.6,1164375221,2006
36.296,32.126,30,3,1164135757,2006
37.212,36.244,6.8,3.2,1162282881,2006
35.918,31.778,25,3.4,1161582389,2006
35.855,31.808,25,3.6,1160911871,2006
35.824,35.6,39,4.5,1160370094,2006
36.85,32.316,16.3,4.2,1159522929,2006
36.795,32.394,18.7,3.9,1159522220,2006
35.947,35.772,21.6,4.2,1158625732,2006
38.732,35.737,14,3.1,1158229523,2006
35.419,34.506,25,3,1157903411,2006
37.016,38.945,6.5,3,1155724737,2006
35.304,33.648,25,3.1,1155224074,2006
38.406,39.356,10.4,4,1155188717,2006
35.704,32.388,25,3,1155166986,2006
38.65,35.184,7.5,3,1154613508,2006
37.507,38.684,6.9,3.9,1153782297,2006
35.172,33.176,52.1,3.2,1153594642,2006
38.034,38.178,9.6,4.1,1153418870,2006
37.836,33.888,5,3.9,1152818257,2006
35.749,32.277,19,3.1,1152807649,2006
37.842,33.832,29.1,3.5,1151995136,2006
39.274,40.96,3,5,1151869179,2006
38.995,35.827,8,3.4,1151625952,2006
38.674,35.843,8,3,1151566772,2006
37.12,37.233,6,3.2,1151311741,2006
36.571,36.684,32,3.3,1151307893,2006
38.615,40.116,31.7,3.2,1149506470,2006
35.143,32.717,68,3.4,1149385469,2006
39.151,40.362,10,4.4,1149345627,2006
35.945,33.397,25,3.2,1148316220,2006
38.065,34.624,15.8,3.2,1146465932,2006
38.664,35.687,13.4,3,1146055214,2006
37.493,36.804,15.6,3.9,1145764829,2006
37.523,36.223,12.7,3.3,1145107745,2006
38.581,38.863,4.9,3.8,1144840445,2006
37.333,34.719,1,4,1144338781,2006
38.501,31.817,27.3,4.1,1143814398,2006
35.252,35.427,27.3,5,1143669915,2006
38.139,38.576,5.9,3.3,1143443029,2006
36.988,36.879,13.6,3,1143027405,2006
37.452,37.6,6.2,4,1142456802,2006
38.505,39.24,14.1,3.1,1142416920,2006
37.421,37.213,5,3.4,1141355198,2006
35.965,35.983,24,3.7,1140482423,2006
39.041,37.147,27.4,4.1,1139479406,2006
36.897,35.942,18.1,4.4,1138300921,2006
36.672,34.765,4,4.1,1137939981,2006
38.476,39.29,14,3.4,1136050607,2005
38.485,39.315,5,3.4,1136049725,2005
38.51,39.273,5,3.5,1136037758,2005
38.509,39.319,14,3.2,1136036419,2005
38.519,39.309,5,4.1,1135778879,2005
38.327,38.805,5,3.5,1135725630,2005
38.43,39.018,5,3.2,1135717663,2005
38.473,38.653,30,3.2,1135562095,2005
37.368,32.309,22,3,1135503257,2005
38.26,38.814,8.5,5.1,1133020615,2005
36.045,32.151,25,3.1,1132314934,2005
37.108,36.336,21.2,3.9,1131815691,2005
37.969,37.923,28.4,3,1131805016,2005
35.301,31.815,5,3.1,1130521662,2005
38.781,38.985,5,4.5,1129619824,2005
35.126,33.744,46,3.7,1128030630,2005
35.86,32.198,19,3.3,1126626860,2005
37.007,35.94,10,4.1,1122204970,2005
35.656,32.897,25,3.7,1120673925,2005
38.44,39.402,5,3.6,1120593443,2005
39.123,36.04,5,4.2,1120512785,2005
35.104,32.946,31,3,1118249233,2005
36.069,32.199,10,3.5,1118135833,2005
35.372,39.212,10,4.6,1116927612,2005
35.162,32.277,20,3.3,1116617616,2005
37.49,38.625,9.3,3.3,1115707135,2005
38.809,38.876,34.7,3.4,1115424641,2005
38.776,38.199,14.6,3.1,1115367867,2005
35.235,32.54,42,4.3,1113695092,2005
38.322,38.834,20.1,3.4,1113123125,2005
36.917,35.269,19.9,3.6,1112680151,2005
39.086,40.358,5,3.6,1112660878,2005
37.188,36.386,20.3,3.1,1111224379,2005
35.718,32.219,25,3.1,1111022284,2005
39.232,40.972,10,4,1110918666,2005
35.012,34.013,10,3,1110474680,2005
38.696,39.932,8,3.5,1110365736,2005
39.042,40.47,6.3,3.2,1109923381,2005
38.955,40.478,20.7,3.1,1109419770,2005
37.324,36.215,24.4,3.4,1109367648,2005
35.996,31.777,83.6,3.3,1109362507,2005
35.196,33.452,31,3.1,1109173174,2005
38.878,39.006,29.4,3.2,1108294631,2005
38.764,39.02,5.4,3.2,1108285730,2005
36.643,31.996,34,3.1,1106857408,2005
36.77,35.239,24.8,4.1,1106669153,2005
39.108,40.386,5.1,3.2,1105833011,2005
39.274,34.237,5,3.4,1105276014,2005
37.573,38.603,5,3.4,1105079264,2005
39.252,40.166,5,3.4,1101337735,2004
35.2,32.822,44.4,3.5,1100654580,2004
35.052,32.854,56.1,3.8,1100653929,2004
37.54,35.944,6.3,3.2,1100431474,2004
38.43,39.098,5,3.2,1100393211,2004
38.421,39.086,5,3.2,1100388632,2004
39.006,35.741,5,3.2,1100288796,2004
36.77,36.642,5.3,3.5,1099672732,2004
39.125,38.288,5,3.2,1099376407,2004
35.252,34.09,25,3.2,1099053952,2004
38.609,39.663,5,3.7,1098733282,2004
36.833,34.318,7.1,3.4,1096817324,2004
36.824,34.339,8.2,4.2,1096358578,2004
38.253,39.047,10,3.8,1094660204,2004
35.373,33.705,29,3,1094084194,2004
36.275,32.277,25,3.3,1093023208,2004
36.789,34.348,9.8,4.5,1092808620,2004
38.419,39.114,5,3.8,1092662013,2004
38.444,39.08,25,4.2,1092517296,2004
38.459,39.257,16,4.5,1092516139,2004
38.417,39.216,5,4.5,1092442825,2004
38.383,39.151,5,4.4,1092429305,2004
38.41,39.174,17.2,3.9,1092330788,2004
35.94,32.104,25,3.1,1092270456,2004
38.377,39.261,7.4,5.7,1092239306,2004
37.787,32.675,36,3.4,1090725301,2004
36.098,32.215,11,3.1,1090098387,2004
38.956,40.341,10,3.6,1090087587,2004
36.995,35.147,10,3.6,1089094541,2004
35.415,33.837,25,3,1087488590,2004
38.663,39.826,10,4.6,1087047474,2004
37.596,36.324,5,3,1085980061,2004
37.662,31.947,5,3.2,1085941425,2004
37.507,36.236,5,3.4,1085939019,2004
37.671,36.31,5,3.1,1085771126,2004
37.495,36.313,12,4.3,1085739281,2004
38.951,33.72,8,3.3,1085365427,2004
39.216,40.364,5,3,1085312123,2004
38.235,35.234,5,3,1085231061,2004
38.257,32.606,12,3.3,1085204214,2004
35.228,32.24,20,3,1085148059,2004
38.554,40.754,5,3.1,1085085902,2004
35.163,32.211,31,3.3,1084619632,2004
35.099,32.345,15,3.2,1084607261,2004
35.294,33.879,25,3.2,1083198388,2004
35.217,32.242,31,3,1083004787,2004
35.174,32.292,25,3.2,1083004413,2004
35.349,32.089,36,3,1081309248,2004
39.274,40.648,45,3.7,1080450779,2004
39.117,40.776,38.1,4,1080449703,2004
35.295,33.879,25,3.1,1079586397,2004
35.768,31.863,15,3.4,1079539876,2004
35.186,33.426,30,3.7,1079449082,2004
35.861,32.343,15,3.1,1078696527,2004
35.291,33.438,35,3.4,1078668610,2004
39.015,40.404,5.5,4.6,1078324719,2004
38.058,38.277,5,3.8,1078185319,2004
36.455,35.781,5,3,1078098937,2004
39.214,36.33,5,3.2,1078096311,2004
38.948,40.525,6,3.4,1078036868,2004
37.689,39.145,5,3.1,1078004611,2004
38.749,40.149,5,3.2,1077940293,2004
39.178,40.296,5,3.3,1077899240,2004
37.413,36.061,5,3.2,1077860956,2004
38.711,39.602,5,3.1,1077851461,2004
37.96,38.193,38.2,4.8,1077768843,2004
35.939,35.887,12,3.2,1077731016,2004
39.003,35.822,5,3.2,1077615148,2004
38.558,39.55,10,3.2,1077612673,2004
36.921,35.451,24,3.6,1077511363,2004
39.274,38.422,11,3.5,1077467140,2004
38.69,39.787,10,3.6,1077265178,2004
37.527,36.238,12,3.7,1077186837,2004
38.969,33.427,10,3.4,1077119803,2004
37.626,36.396,8,3.3,1077081004,2004
38.289,38.829,4,3.4,1076877629,2004
37.66,36.203,10,3.2,1076876457,2004
38.243,38.82,11,3.7,1076875380,2004
37.586,36.175,10,3.5,1076870629,2004
37.701,36.45,10,3.3,1076849745,2004
38.735,39.824,10,3.8,1076455631,2004
38.268,38.989,10,3.2,1076277603,2004
39.244,32.626,11,3.2,1076261812,2004
39.174,32.752,18,3.1,1076238123,2004
39.199,32.609,10,4.3,1076232474,2004
39.239,32.627,5,3.3,1076203610,2004
38.328,38.899,7,3.2,1073391712,2004
38.341,38.964,5.7,4.7,1073385551,2004
37.859,36.112,10,3.3,1073348252,2004
38.118,38.274,7,3,1073222188,2004
37.853,36.108,13,3,1073176630,2004
37.863,36.159,10,3.1,1073136455,2004
37.653,36.516,8,3.3,1073053211,2004
37.151,36.313,8,3.2,1072921059,2004
35.755,32.377,25,3,1070185386,2003
37.283,36.19,10,4,1069216343,2003
37.775,36.239,10,4.1,1062622995,2003
38.218,38.842,10,4.4,1061370885,2003
38.247,38.829,10,4.2,1061347864,2003
38.288,38.963,10,5.6,1058060901,2003
35.159,33.405,25,3.2,1055681544,2003
38.965,40.593,10,4.4,1053085565,2003
37.001,36.006,14.5,3.3,1053006179,2003
38.935,40.51,3.4,3.5,1052985986,2003
39.104,40.568,12.2,3,1052980561,2003
35.116,34.488,33,4.4,1052855550,2003
38.933,40.57,10,4.3,1052712610,2003
39.218,40.428,10,4,1052696641,2003
39.052,40.438,10,3.6,1052610102,2003
39.05,40.36,10,4.6,1052581491,2003
39.015,40.605,10,4.6,1052358260,2003
39.057,40.555,10,4.4,1052014198,2003
38.669,40.841,10,4.1,1051781750,2003
39.169,40.348,10,4,1051770883,2003
39.117,40.572,10,4.2,1051749719,2003
39.007,40.464,10,6.4,1051748824,2003
36.574,38.121,5.9,3.7,1050259683,2003
37.843,38.167,10,4.1,1049316940,2003
